name,url,remote_support,adaptive_support,test_types,description
Claims/Operations Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/claimsoperations-supervisor-solution/,Yes,Yes,"['P', 'S', 'A', 'B']",Claims/Operations Supervisor Solution: The Claims/Operations Supervisor solution is for entry-level management positions that involve supervising hourly employees.  Sample tasks for this job…
Contact Center Customer Service + 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-customer-service-8-0/,Yes,No,"['A', 'B', 'C', 'P', 'S']","Contact Center Customer Service + 8.0: The Contact Center + 8.0 - Customer Service Job Focused Assessment is designed to measure the skills, competencies, and behaviors needed for success in contact…"
Contact Center Customer Service 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-customer-service-8-0-4269/,Yes,No,"['S', 'B', 'C', 'P']",Contact Center Customer Service 8.0  : The Customer Service 8.0 JFA is designed for entry-level positions in a contact center environment where the main focus is customer service.
Contact Center Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/contact-center-manager-short-form/,Yes,Yes,"['A', 'B', 'P', 'S']","Contact Center Manager - Short Form: The Contact Center - Manager solution is for mid to upper-level contact center managerial positions. Sample  tasks for these jobs include, but are not limited…"
Contact Center Sales & Service + 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-sales-and-service-8-0/,Yes,No,"['P', 'B', 'C', 'A', 'S']","Contact Center Sales & Service + 8.0 : The Contact Center + 8.0 - Sales & Service Job Focused Assessment is designed to measure the skills, competencies, and behaviors needed for success in contact…"
Contact Center Sales & Service 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-sales-and-service-8-0-4268/,Yes,No,"['S', 'B', 'C', 'P']",Contact Center Sales & Service 8.0 : The Sales & Service 8.0 JFA is designed for contact center roles that involve sales or sales-related behaviors such as recommending products or services and…
Contact Center Team Lead/Coach - Short Form,https://www.shl.com/solutions/products/product-catalog/view/contact-center-team-leadcoach-short-form/,Yes,Yes,"['A', 'B', 'P', 'S']",Contact Center Team Lead/Coach - Short Form: The Contact Center - Team Lead/Coach solution is for job candidates applying to entry-level leadership  positions who tend to supervise hourly employees…
Contact Centre Agent Solution - UK,https://www.shl.com/solutions/products/product-catalog/view/contact-centre-agent-solution-uk/,Yes,No,"['A', 'B', 'P', 'S']",Contact Centre Agent Solution - UK: This solution is used for job candidates applying to entry-level positions in a contact centre environment where the main focus of the job is customer service…
Customer Service - Short Form,https://www.shl.com/solutions/products/product-catalog/view/customer-service-short-form/,Yes,Yes,"['A', 'B', 'P']",Customer Service - Short Form: The Customer Service Representative Solution is for entry-level positions that involve a high degree of interaction with customers in person or on the phone…
Customer Service - Short Form - UK,https://www.shl.com/solutions/products/product-catalog/view/customer-service-short-form-uk/,Yes,Yes,"['A', 'B', 'P']",Customer Service - Short Form - UK: The Customer Service Representative solution is for entry-level positions that involve  a high degree of interaction with customers in person or on the phone…
Customer Service with Sales - Short Form,https://www.shl.com/solutions/products/product-catalog/view/customer-service-with-sales-short-form/,Yes,Yes,"['A', 'B', 'P']",Customer Service with Sales - Short Form: The Customer Service with Sales solution is for entry-level positions that involve both providing service and support to customers and selling goods and…
Director - Short Form,https://www.shl.com/solutions/products/product-catalog/view/director-short-form/,Yes,Yes,"['A', 'B', 'P']","Director - Short Form: The Director solution is intended for use with senior level positions responsible for the planning, directing, or coordinating key business activities and…"
District/Regional Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/districtregional-manager-solution/,Yes,Yes,"['A', 'B', 'P']",District/Regional Manager Solution: The District/Regional Manager solution is for mid- to senior-level managerial positions that oversee multiple stores within a defined area.  Sample tasks for…
Entry Level Cashier 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/entry-level-cashier-7-1-%28americas%29/,Yes,No,"['B', 'P', 'A']","Entry Level Cashier 7.1 (Americas): The Entry level Cashier 7.1 solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for…"
Entry Level Cashier 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/entry-level-cashier-7-1-%28international%29/,Yes,No,"['A', 'B', 'P']","Entry Level Cashier 7.1 (International): The Entry level Cashier 7.1 solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for…"
Entry Level Customer Service 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-7-1-%28americas%29/,Yes,No,"['C', 'P']",Entry Level Customer Service 7.1 (Americas): The Entry Level Customer Service Solution (Retail and Contact Center) 7.1 is for entry-level positions in which employees interact with customers by providing…
Entry Level Customer Service 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-%28retail-and-cc%29-7-1/,Yes,No,"['C', 'P']",Entry Level Customer Service 7.1 (International): The Entry Level Customer Service Solution (Retail and Contact Center) 7.1 is for entry-level positions in which employees interact with customers by providing…
Entry Level Customer Service 7.1 (South Africa),https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-7-1-%28south-africa%29/,Yes,No,"['C', 'P']",Entry Level Customer Service 7.1 (South Africa): The Entry Level Customer Service Solution (Retail and Contact Center) 7.1 is for entry-level positions in which employees interact with customers by providing…
Entry level Sales 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1-%28americas%29/,Yes,No,"['B', 'C', 'P']",Entry level Sales 7.1 (Americas): The Entry Level Sales 7.1 Solution is for entry-level positions in which employees proactively sell products or services to customers and have their…
Entry level Sales 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1/,Yes,No,"['P', 'B', 'C']",Entry level Sales 7.1 (International): The Entry Level Sales 7.1 Solution is for entry-level positions in which employees proactively sell products or services to customers and have their…
Entry Level Sales Sift Out 7.1,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-sift-out-7-1/,Yes,No,"['C', 'P', 'B']",Entry Level Sales Sift Out 7.1: The Entry Level Sales Sift Out 7.1 Solution is for entry-level positions in which employees proactively sell products or services to customers and have their…
Event Sales Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/event-sales-manager-solution/,Yes,Yes,"['S', 'A', 'B', 'P']",Event Sales Manager Solution: The Event Sales Manager solution is designed for management level positions in the hospitality industry. Sample tasks include selling use of facility space for…
Executive - Short Form,https://www.shl.com/solutions/products/product-catalog/view/executive-short-form/,Yes,Yes,"['A', 'B', 'P']","Executive - Short Form: The Executive solution is intended for use with senior executive level positions responsible for planning, directing, or coordinating key business activities…"
Financial Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/view/financial-professional-short-form/,Yes,No,"['A', 'B', 'P']",Financial Professional - Short Form: This solution is for mid-level financial institution positions that require Series 6/7 certification. Candidates answer multiple choice questions to measure…
Financial Services Representative Solution,https://www.shl.com/solutions/products/product-catalog/view/financial-services-representative-solution/,Yes,No,"['A', 'B', 'P']",Financial Services Representative Solution: The Financial Services Representative solution is for senior-level professional positions in the insurance industry that sell life insurance to businesses and…
Front Desk Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/front-desk-associate-solution/,Yes,Yes,"['A', 'B', 'P']",Front Desk Associate Solution: The Front Desk Associate solution is designed for entry-level customer service positions in the hospitality industry. The solution is appropriate for positions…
Gaming Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/gaming-associate-solution/,Yes,Yes,"['A', 'B', 'P', 'S']",Gaming Associate Solution: The Gaming Associate solution is designed for entry to mid-level positions operating gaming tables. The solution is for highly customer service focused…
Gaming Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/gaming-manager-solution/,Yes,Yes,"['S', 'A', 'B', 'K', 'P']","Gaming Manager Solution: The Gaming Manager solution is designed for management level positions within the hospitality industry. Sample tasks include managing operations, supervisors…"
General Entry Level - All Industries 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-0-solution/,Yes,No,['B'],General Entry Level - All Industries 7.0 Solution: Our General Entry Level – All Industries 7.0 solution is designed for entry-level positions across industries. This solution predicts the following types of…
General Entry Level - All Industries 7.1 Solution,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-1-solution/,Yes,No,['B'],General Entry Level - All Industries 7.1 Solution: Our General Entry Level – All Industries 7.1 solution is designed for entry-level positions across industries. This solution predicts the following types of…
General Entry Level - All Industries 7.1(Americas),https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-1%28americas%29/,Yes,No,['B'],General Entry Level - All Industries 7.1(Americas): Our General Entry Level – All Industries 7.1 solution is designed for entry-level positions across industries. This solution predicts the following types of…
General Entry Level – Data Entry 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-data-entry-7-0-solution/,Yes,No,"['B', 'K']",General Entry Level – Data Entry 7.0 Solution: Our General Entry Level – Data Entry 7.0 solution is designed for entry-level positions that include entering data into computers or data management systems…
Graduate + 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/graduate-8-0-job-focused-assessment/,Yes,No,"['A', 'B', 'P']","Graduate + 8.0 Job Focused Assessment: The Graduate + 8.0 Job Focused Assessment is a short, targeted, globally applicable assessment which includes a short cognitive ability measure. It helps you…"
Graduate 7.1 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/graduate-7-1-job-focused-assessment/,Yes,No,"['B', 'C']",Graduate 7.1 Job Focused Assessment: The Graduate 7.1 Job Focused Assessment is designed for professional level positions appropriate for recent college graduates.
Graduate 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/graduate-8-0-job-focused-assessment-4228/,Yes,No,"['P', 'B']","Graduate 8.0 Job Focused Assessment : The Graduate 8.0 Job Focused Assessment is a short, targeted, globally applicable assessment to help you identify graduates with the highest potential to…"
Guest Service Team 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/guest-service-team-7-0-solution/,Yes,No,['B'],Guest Service Team 7.0 Solution: Our Guest Service Team 7.0 solution is designed for team-oriented entry-level positions that involve a high degree of interaction with customers. The solution…
Guest Services Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/guest-services-associate-solution/,Yes,Yes,"['A', 'B', 'P', 'S']",Guest Services Associate Solution: The Guest Services Associate solution is designed for entry to mid-level customer service positions in the hospitality industry. The solution is for highly…
Healthcare Aide 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/healthcare-aide-7-0-solution/,Yes,No,['B'],"Healthcare Aide 7.0 Solution: Our Healthcare Aide 7.0 solution is designed for individually-oriented, entry-level positions that directly support another person's health and well-being. The…"
Healthcare Call Center Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/healthcare-call-center-agent-solution/,Yes,Yes,"['A', 'B', 'P', 'S']",Healthcare Call Center Agent Solution: The Healthcare Call Center Agent solution is for entry-level positions in an inbound healthcare call center environment.  Sample tasks for this job include…
Healthcare Service Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/healthcare-service-associate-solution/,Yes,Yes,"['A', 'B', 'P']",Healthcare Service Associate Solution: The Healthcare Service Associate solution is for entry-level positions in a healthcare environment that require the employee to interact with patients.  Sample…
Healthcare Support Specialist Solution,https://www.shl.com/solutions/products/product-catalog/view/healthcare-support-specialist-solution/,Yes,Yes,"['A', 'B', 'P']",Healthcare Support Specialist Solution: The Healthcare Support Specialist solution is for entry-level positions in a healthcare environment that do not require the employee to interact with patients…
Home Health Aide Solution,https://www.shl.com/solutions/products/product-catalog/view/home-health-aide-solution/,Yes,Yes,"['A', 'B', 'P']","Home Health Aide Solution: The Home Health Aide solution is for entry-level positions in an in-home or group home environment.  Sample tasks for this job include, but are not limited to…"
Hospitality Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/hospitality-manager-solution/,Yes,Yes,"['A', 'B', 'K', 'P']",Hospitality Manager Solution: The Hospitality Manager solution is designed for management level positions in the hospitality industry. Sample tasks include overall property management…
Host Solution,https://www.shl.com/solutions/products/product-catalog/view/host-solution/,Yes,Yes,"['B', 'P']","Host Solution: The Host solution is designed for entry level positions in the hospitality industry. Sample tasks include greeting guests, managing wait lists and showing…"
Industrial - Entry Level 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/industrial-entry-level-7-0-solution/,Yes,No,['B'],"Industrial - Entry Level 7.0 Solution: Our Industrial – Entry Level 7.0 solution is designed for entry-level positions, and measures the behaviors and experiences that underlie successful and safe…"
Industrial - Entry Level 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/industrial-entry-level-7-1-%28americas%29/,Yes,No,['B'],"Industrial - Entry Level 7.1 (Americas): Our Industrial – Entry Level 7.1 solution is designed for entry-level positions, and measures the behaviors and experiences that underlie successful and safe…"
Industrial - Entry Level 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/industrial-entry-level-7-1-%28international%29/,Yes,No,['B'],"Industrial - Entry Level 7.1 (International): Our Industrial – Entry Level 7.1 solution is designed for entry-level positions, and measures the behaviors and experiences that underlie successful and safe…"
Industrial - Professional and Skilled 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/industrial-professional-and-skilled-7-0-solution/,Yes,Yes,"['A', 'B']",Industrial - Professional and Skilled 7.0 Solution: Our Industrial – Professional and Skilled 7.0 solution is designed to measure the behaviors and experiences that underlie successful and safe performance in…
Industrial - Semi-skilled 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/industrial-semi-skilled-7-1-%28americas%29/,Yes,No,['B'],Industrial - Semi-skilled 7.1 (Americas): Our Industrial – Semi-skilled 7.1 solution is designed for entry-level positions and measures the behaviors and experiences that underlie successful and safe…
Industrial - Semi-skilled 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/industrial-semi-skilled-7-1-%28international%29/,Yes,No,['B'],Industrial - Semi-skilled 7.1 (International): Our Industrial – Semi-skilled 7.1 solution is designed for entry-level positions and measures the behaviors and experiences that underlie successful and safe…
Industrial Professional and Skilled 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/industrial-professional-and-skilled-7-1-%28americas%29/,Yes,No,"['A', 'B']",Industrial Professional and Skilled 7.1 (Americas): Our Industrial – Professional and Skilled 7.1 solution is designed to measure the behaviors and experiences that underlie successful and safe performance in…
Industrial Professional and Skilled 7.1 Solution,https://www.shl.com/solutions/products/product-catalog/view/industrial-professional-and-skilled-7-1-solution/,Yes,No,"['A', 'B']",Industrial Professional and Skilled 7.1 Solution: Our Industrial – Professional and Skilled 7.1 solution is designed to measure the behaviors and experiences that underlie successful and safe performance in…
Installation and Repair Technician Solution,https://www.shl.com/solutions/products/product-catalog/view/installation-and-repair-technician-solution/,Yes,Yes,"['A', 'B', 'P', 'S']",Installation and Repair Technician Solution: The Installation and Repair Technician solution is designed for use with entry-level field technician positions in the telecommunications industry. The…
Insurance Account Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-account-manager-solution/,Yes,Yes,"['A', 'B', 'P', 'S']",Insurance Account Manager Solution: The Insurance Account Manager solution is for mid-level insurance professionals that manage the day-to-day operations and activities of customer accounts…
Insurance Administrative Assistant Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-administrative-assistant-solution/,Yes,Yes,"['A', 'B', 'P', 'S']",Insurance Administrative Assistant Solution: The Administrative Assistant solution is for entry-level clerical positions that interact with external or internal customers. Sample tasks for this job…
Insurance Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-agent-solution/,Yes,Yes,"['A', 'B', 'P']","Insurance Agent Solution: The Insurance Agent solution is for mid-level professional positions in the insurance industry that sell property, casualty, automotive, or other types of…"
Insurance Director Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-director-solution/,Yes,Yes,"['A', 'B', 'P']",Insurance Director Solution: The Insurance Director solution is for senior-level management positions in the insurance companies that oversee sales functions across multiple brokerages…
Insurance Sales Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-sales-manager-solution/,Yes,Yes,"['A', 'B', 'P', 'S']",Insurance Sales Manager Solution: The Sales Manager solution is for entry- to mid-level management positions that involve supervising employees working in an insurance organization and have a…
Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/manager-short-form/,Yes,Yes,"['A', 'B', 'K', 'P', 'S']",Manager - Short Form: The Manager solution is an assessment used for job candidates applying to entry-level leadership positions who tend to supervise salaried employees. Sample…
Manager + 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/manager-7-0-solution-3955/,Yes,Yes,"['A', 'B', 'C']","Manager + 7.0 Solution: Our Manager + 7.0 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees, and includes SHL’s…"
Manager + 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-solution-4242/,Yes,Yes,"['B', 'C', 'P']","Manager + 7.1 (Americas): Our Manager + 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees, and includes SHL’s…"
Manager + 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-%28international%29/,Yes,Yes,"['B', 'C', 'P']","Manager + 7.1 (International): Our Manager + 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees, and includes SHL’s…"
Manager 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/manager-7-0-solution/,Yes,No,"['B', 'C']",Manager 7.0 Solution: Our Manager 7.0 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees. Sample tasks for…
Manager 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-%28americas%29/,Yes,No,"['B', 'C', 'P']",Manager 7.1 (Americas): Our Manager 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees. Sample tasks for…
Manager 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-solution/,Yes,No,"['B', 'C', 'P']",Manager 7.1 (International): Our Manager 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees. Sample tasks for…
Manager 8.0 JFA,https://www.shl.com/solutions/products/product-catalog/view/manager-8-0-jfa/,Yes,No,"['B', 'K', 'P']",Manager 8.0 JFA: The Manager 8.0 Job-Focused Assessment is designed for candidates applying to their first leadership positions. It measures behaviors that underlie successful…
Manager 8.0+ JFA,https://www.shl.com/solutions/products/product-catalog/view/manager-8-0-jfa-4310/,Yes,No,"['B', 'K', 'P']",Manager 8.0+ JFA: The Manager 8.0+ Job-Focused Assessment is designed for candidates applying to their first leadership positions and includes SHL’s new innovative mobile-first…
Manufacturing Production Team Member,https://www.shl.com/solutions/products/product-catalog/view/manufacturing-production-team-member/,Yes,No,"['A', 'B']",Manufacturing Production Team Member: The Manufacturing Production Team Member solution is designed for entry-level positions to measure the behaviors and experiences that underlie successful and…
Manufacturing Skilled Maintenance Worker,https://www.shl.com/solutions/products/product-catalog/view/manufacturing-skilled-maintenance-worker/,Yes,No,"['A', 'B']",Manufacturing Skilled Maintenance Worker: The Manufacturing Skilled Maintenance solution is designed for entry-level positions to measure the behaviors and experiences that underlie successful and safe…
Network Engineer/Analyst Solution,https://www.shl.com/solutions/products/product-catalog/view/network-engineeranalyst-solution/,Yes,Yes,"['P', 'S', 'K', 'B', 'A']",Network Engineer/Analyst Solution: The Network Engineer/Analyst solution is designed for use with professional level telecommunications engineers and network analysts. The solution is focused on…
Nurse Leader Solution,https://www.shl.com/solutions/products/product-catalog/view/nurse-leader-solution/,Yes,Yes,"['S', 'A', 'B', 'P']",Nurse Leader Solution: The Nurse Leader solution is an assessment used for job candidates applying to entry-level nurse leadership positions who tend to supervise hourly employees…
Nurse Solution,https://www.shl.com/solutions/products/product-catalog/view/nurse-solution/,Yes,Yes,"['P', 'A', 'B']","Nurse Solution: The Nurse solution is for professional-level healthcare nursing positions that require licensing or registration.  Sample tasks for these jobs include, but are…"
Nursing Assistant Solution,https://www.shl.com/solutions/products/product-catalog/view/nursing-assistant-solution/,Yes,No,"['A', 'B', 'P']","Nursing Assistant Solution: The Nursing Assistant solution is for entry-level positions in a clinic or hospital environment. Sample tasks for this job include, but are not limited to…"
Personal Banker - Short Form,https://www.shl.com/solutions/products/product-catalog/view/personal-banker-short-form/,Yes,No,"['A', 'B', 'K', 'P', 'S']","Personal Banker - Short Form: The Personal Banker – Loan Officer solution is for entry to mid-level financial institution positions. Sample tasks for this job would include, but are not…"
Phone Banker - Short Form,https://www.shl.com/solutions/products/product-catalog/view/phone-banker-short-form/,Yes,No,"['A', 'B', 'P']",Phone Banker - Short Form: This solution is for entry to mid-level financial institution positions. Candidates are asked to answer multiple choice questions to assess learning potential…
Prep/Line Cook Solution,https://www.shl.com/solutions/products/product-catalog/view/prepline-cook-solution/,Yes,Yes,"['A', 'B', 'P']",Prep/Line Cook Solution: The Prep/Line Cook solution is for entry-level food preparation positions in the hospitality industry. Sample tasks include preparing ingredients and final…
Professional + 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/professional-7-0-solution-3958/,Yes,Yes,"['A', 'B', 'C']","Professional + 7.0 Solution: Our Professional + 7.0 solution is designed for all non-managerial professional individual contributor positions, and includes SHL’s new innovative…"
Professional + 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-%28americas%29/,Yes,Yes,"['B', 'C', 'P']","Professional + 7.1 (Americas): Our Professional + 7.1 solution is designed for all non-managerial professional individual contributor positions, and includes SHL’s new innovative…"
Professional + 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-solution/,Yes,Yes,"['B', 'C', 'P']","Professional + 7.1 (International): Our Professional + 7.1 solution is designed for all non-managerial professional individual contributor positions, and includes SHL’s new innovative…"
Professional 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/professional-7-0-solution/,Yes,No,"['B', 'C']","Professional 7.0 Solution: Our Professional 7.0 solution is designed for all non-managerial professional individual contributor positions. Sample tasks for these jobs include, but are…"
Professional 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-solution-4247/,Yes,No,"['C', 'B']","Professional 7.1 (International): Our Professional 7.1 solution is designed for all non-managerial professional individual contributor positions. Sample tasks for these jobs include, but are…"
Professional 8.0 JFA,https://www.shl.com/solutions/products/product-catalog/view/professional-8-0-jfa/,Yes,No,"['B', 'K', 'P']",Professional 8.0 JFA: The Professional 8.0 Job-Focused Assessment is designed for all non-managerial professional/individual contributor positions. It measures behaviors that…
Professional/Individual Contributor - Short Form,https://www.shl.com/solutions/products/product-catalog/view/professionalindividual-contributor-short-form/,Yes,Yes,"['A', 'B', 'P', 'S']","Professional/Individual Contributor - Short Form: The Professional/Individual Contributor solution is for mid to upper-level, non-managerial positions. Sample tasks for these jobs include, but are not limited…"
Project Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/project-manager-short-form/,Yes,Yes,"['A', 'B', 'P', 'S']",Project Manager - Short Form: The Project Manager solution is designed for positions that lead medium to large scale projects with multiple team members involved. Sample tasks for this job…
Proof Operator - Processing Specialist -Short Form,https://www.shl.com/solutions/products/product-catalog/view/proof-operator-processing-specialist-short-form/,Yes,No,['S'],Proof Operator - Processing Specialist -Short Form: The Proof Operator – Processing Specialist solution is for entry-level positions that perform basic daily bank operations procedures such as the processing of…
Reservation Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/reservation-agent-solution/,Yes,Yes,"['A', 'P', 'S', 'B']","Reservation Agent Solution: The Reservation Agent solution is designed for entry-level positions within the hospitality industry. Sample tasks may indlude making, updating, or canceling…"
Restaurant Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/restaurant-manager-solution/,Yes,Yes,"['A', 'B', 'P', 'S']",Restaurant Manager Solution: The Restaurant Manager solution is designed for management level positions in the hospitality industry. Sample tasks include purchasing food and supplies…
Restaurant Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/restaurant-supervisor-solution/,Yes,Yes,"['A', 'B', 'P']",Restaurant Supervisor Solution: The Restaurant Supervisor solution is designed for management level positions in the hospitality industry. Sample tasks include serving as a staff resource…
Retail Consultant Solution,https://www.shl.com/solutions/products/product-catalog/view/retail-consultant-solution/,Yes,Yes,"['A', 'B', 'P']","Retail Consultant Solution: The Retail Consultant solution is for entry to mid-level retail positions in which employees proactively sell products to customers, develop relationships with…"
Retail Manager w/ Sales Solution,https://www.shl.com/solutions/products/product-catalog/view/retail-manager-w-sales-solution/,Yes,Yes,"['A', 'B', 'P']",Retail Manager w/ Sales Solution: The Retail Manager with Sales solution is an assessment used for job candidates applying to entry-level leadership positions who tend to supervise hourly…
